Date,Canton,Value
2020-03-25,Basel Stadt,212.05
2020-03-25,Graubünden/Grison,182.48
2020-03-26,Graubünden/Grison,196.59
2020-03-26,Zug,59.92
2020-03-26,Bern,60.48
2020-03-26,Genève,401.82
2020-03-26,Aargau,49.60
2020-03-26,Zürich,88.69
2020-03-26,Thurgau,39.06
2020-03-26,Schwyz,63.46
2020-03-26,St. Gallen,63.23
2020-03-26,Valais/Wallis,234.04
2020-03-26,Obwalden,79.28
2020-03-26,Liechtenstein,134.20
2020-03-26,Nidwalden,99.48
2020-03-26,Appenzell Ausserrhoden,66.99
2020-03-26,Solothurn,51.25
2020-03-26,Luzern,58.60
2020-03-26,Vaud,333.86
2020-03-26,Ticino,350.37
2020-03-26,Uri,98.81
2020-03-26,Basel Stadt,219.75
2020-03-26,Appenzell Innerrhoden,68.13
2020-03-26,Fribourg/Freiburg,89.42
2020-03-26,Glarus,99.00
2020-03-26,Basel Land,139.87
2020-03-26,Neuchâtel,143.06
2020-03-26,Jura,119.86
2020-03-26,Schaffhausen,42.69
2020-03-27,Appenzell Ausserrhoden,70.61
2020-03-27,Obwalden,95.13
2020-03-27,Appenzell Innerrhoden,74.33
2020-03-27,Vaud,351.50
2020-03-27,St. Gallen,68.35
2020-03-27,Thurgau,43.77
2020-03-27,Schaffhausen,43.91
2020-03-27,Jura,136.20
2020-03-27,Uri,104.30
2020-03-27,Fribourg/Freiburg,106.05
2020-03-27,Genève,419.84
2020-03-27,Basel Stadt,224.89
2020-03-27,Nidwalden,113.37
2020-03-27,Schwyz,69.11
2020-03-27,Bern,66.09
2020-03-27,Graubünden/Grison,212.22
2020-03-27,Ticino,419.42
2020-03-27,Zug,65.44
2020-03-27,Aargau,55.00
2020-03-27,Zürich,95.53
2020-03-27,Neuchâtel,145.32
2020-03-27,Luzern,73.01
2020-03-27,Solothurn,57.10
2020-03-27,Basel Land,149.24
2020-03-27,Glarus,101.48
2020-03-27,Liechtenstein,141.94
